Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-343.6943956637637,0.9577379560464571,108.57420755727402,1,20000,40,0.017619922757148743,0.00029925,265.4503091550102,0.268131687214967,-0.024120568516165817,0.0,10.0,12.448707580566406,50.62856364250183,63.07727313041687,6.999969315302224e-08,1.907348723406699e-09
-404.8252570752241,1.6437908496732025,134.7437908496732,2,40000,40,0.01678592897951603,0.0002985,262.24887905973975,0.39896021619492683,-0.021480059928555315,0.0,4.25,12.074767589569092,50.68321776390076,62.75798678398132,4.0435789827597546e-08,6.866454960174906e-09
-336.21976924881676,1.3564814814814814,119.34012345679011,3,60000,37,0.02026744931936264,0.00029775,398.76139272761134,0.3992694144359721,-0.02542667335788168,0.0,9.0,9.998539447784424,47.5852370262146,57.58377742767334,8.721351463236715e-08,-5.483627441016381e-10
-375.5700034568028,1.1203703703703707,140.20555555555552,4,80000,30,0.020502062514424324,0.000297,410.09532283096394,0.2748841390182305,-0.02485898963197534,0.0,6.0,9.873422145843506,38.095542192459106,47.968966007232666,1.4495849853801701e-08,-2.1934509764065524e-09
-425.9937850524907,0.8626865671641791,169.15335820895524,5,100000,24,0.020121363922953606,0.00029625,394.6265085340181,0.25605269923535423,-0.023475114638088726,0.0,6.5,14.267309188842773,30.5805447101593,44.84785532951355,3.924369806895811e-08,-8.583068700218632e-10
-369.8124978412025,0.9891304347826085,155.07043478260866,6,120000,20,0.021101318299770355,0.0002955,319.7537448529618,0.16158443854812282,-0.02294162839149741,0.0,3.0,15.343803405761719,25.340137004852295,40.68394184112549,6.1988831845383174e-09,-8.106231796922714e-10
-233.3531873147936,1.1229857819905216,99.49265402843604,7,140000,18,0.0202978253364563,0.00029475000000000004,571.681422145899,0.48186029912821254,-0.021156253427218146,0.0,3.5,12.241289615631104,23.064822673797607,35.30611443519592,-6.103515470812226e-09,-1.3351439953623867e-09
-309.4800235261118,1.1652027027027025,142.11520270270273,8,160000,15,0.021585822105407715,0.00029400000000000004,431.5443249459719,0.35877938714152136,-0.02056429221560629,0.0,6.75,10.921245098114014,19.116294145584106,30.037541389465332,4.482269222449986e-09,4.00543198608716e-09
-208.31677541966326,1.2216577540106952,99.57085561497327,9,180000,13,0.020067570731043816,0.00029325000000000005,534.6297372108772,0.3567669758704553,-0.017837829239443072,0.0,5.25,13.206363201141357,16.81874132156372,30.02510643005371,-6.484985437538171e-09,1.6212463593845428e-09
-273.66214318036936,0.7670212765957447,137.48546099290783,10,200000,11,0.02044876478612423,0.00029250000000000006,364.1962051657511,0.22461137067361034,-0.01869366224334477,0.0,4.25,15.90969705581665,13.752444505691528,29.662142992019653,2.6702879907247734e-09,-2.861023085110048e-10
-158.15257010331234,0.7738775510204082,81.87448979591836,11,220000,16,0.021647460758686066,0.00029175000000000007,512.8221241277628,0.32870599728884003,-0.021960787879145585,0.0,6.25,15.99104905128479,20.136542081832886,36.12759327888489,0.0,-1.4305114870438729e-09
-220.28274180070903,0.8926553672316384,119.6864406779661,12,240000,14,0.020185358822345734,0.0002910000000000001,415.8492431588393,0.2408364863610571,-0.021175423264620373,0.0,0.75,16.946006774902344,17.65331792831421,34.59932732582092,-1.2207030941624453e-08,1.0490417423625331e-09
-191.67114381354386,0.9178977272727272,111.746875,13,260000,11,0.020198320969939232,0.0002902500000000001,374.08620585835746,0.27312292201775057,-0.018730895473120554,0.0,6.0,18.04451894760132,13.733208894729614,31.777729511260986,1.0919571025169716e-08,-1.19209286886246e-09
-144.38587958624484,0.9781999999999998,86.0658,14,280000,13,0.020825479179620743,0.0002895000000000001,447.0202606643673,0.567639490676017,-0.02060787298030644,0.0,1.75,13.751907587051392,16.57306957244873,30.324979066848755,-2.9373168786150927e-08,-1.19209286886246e-09
-162.04544844440565,1.1402631578947366,100.55499999999998,15,300000,13,0.02131357230246067,0.0002887500000000001,376.6937413734779,0.3747413317087198,-0.02105482381673081,0.0,3.75,15.600289821624756,16.63089346885681,32.23118495941162,1.7166137400437265e-09,-6.675719976811934e-10
-153.83884900532112,1.0638020833333333,99.96171875,16,320000,10,0.022019019350409508,0.0002880000000000001,330.20352716902954,0.3873590401436289,-0.017863921529595584,0.0,1.75,18.58967876434326,12.731269598007202,31.320950269699097,2.5177001816700795e-08,1.478195232884616e-09
-128.81455846524636,0.7395918367346939,91.7430612244898,17,340000,9,0.021305324509739876,0.0002872500000000001,294.48768420722155,0.3333843635381284,-0.017142284905354806,0.0,5.25,17.055277109146118,11.654345512390137,28.709624528884888,2.880096516832964e-08,1.239776614703203e-09
-106.62086604216682,0.9725868725868727,76.78166023166024,18,360000,9,0.02062779851257801,0.00028650000000000013,299.6665463188586,0.5495484091875757,-0.016911819530270773,0.0,1.0,12.902247905731201,11.351814985275269,24.254064798355103,3.814697446813398e-09,8.583068700218632e-10
-137.8073406714468,0.7904145077720206,105.38341968911917,19,380000,6,0.02037329040467739,0.00028575000000000014,227.72367654136195,0.28488000612547254,-0.013360068780499985,0.0,2.25,13.263683319091797,7.661006450653076,20.924692630767822,3.98159016867794e-09,1.2159347972939827e-09
