Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LagragianMultiplier,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-638.1916083267243,0.0,1000.0,0.0,1,20000,40,0.010332982055842876,0.0,0.00029925,26.28967925469587,0.0022799723539360544,-0.011468162534129658,10.741230010986328,38.71467471122742,49.45590591430664,1.4533996761656454e-07,-5.364417798858767e-10
-609.6203198136404,0.0,1000.0,0.0,2,40000,40,0.00896612461656332,0.0,0.0002985,21.91161250081032,0.00044061256773550374,-0.010235036228735972,11.454755067825317,34.73538851737976,46.190144777297974,8.296966313992016e-08,-9.834766334648748e-11
-573.9097448673142,0.0,1000.0,0.0,3,60000,40,0.008840853348374367,0.0,0.00029775,25.000581148931175,0.0002539450517407163,-0.011863772857602045,13.030117750167847,34.42798686027527,47.45811128616333,-4.959106547630654e-08,1.3113021779531664e-10
-552.7794634553022,0.0,1000.0,0.0,4,80000,40,0.011167649179697037,0.0,0.000297,18.952068647913112,0.00011851312645341552,-0.0142931429328913,11.52054214477539,45.755128383636475,57.275673389434814,2.1934509764065524e-09,2.726912584627428e-10
-496.12657050857416,0.0,1000.0,0.0,5,100000,40,0.010962550528347492,0.0,0.00029625,23.78143469360983,1.3787619029424105e-05,-0.013419016616109012,11.629614114761353,36.90182018280029,48.53143620491028,-6.332397362029951e-08,7.078051339481917e-11
-493.5729930248046,0.019999999999999997,1000.0,0.0,6,120000,40,0.012006011791527271,0.0,0.0002955,21.488706618813193,0.00043474906368614876,-0.01630658735079946,11.676828622817993,38.10408902168274,49.78091883659363,-3.8146971692576415e-10,4.515051943432269e-10
-443.289790451168,0.030000000000000006,1000.0,0.0,7,140000,40,0.011865437030792236,0.0,0.00029475000000000004,19.195647828594137,3.0428470349370457e-07,-0.016252992326166824,11.48128628730774,36.90636682510376,48.387654542922974,2.7656554379973386e-08,2.70549194159031e-10
-397.0391611607517,0.027500000000000004,1000.0,0.0,8,160000,40,0.014015219174325466,0.0,0.00029400000000000004,16.317333354464,0.00043086640687587324,-0.017656123711264866,11.10965895652771,36.81027293205261,47.9199333190918,8.77380390562621e-09,1.3709068602540952e-10
-375.32321254762275,0.0225,1000.0,0.0,9,180000,40,0.012633859179913998,0.0,0.00029325000000000005,15.761744062612012,1.7539253391873899e-07,-0.016467829658182716,12.081595182418823,41.62449359893799,53.7060911655426,7.820129432900558e-09,-1.8626451075975936e-11
-336.5089130947214,0.0,1000.0,0.0,10,200000,40,0.014473539777100086,0.0,0.00029250000000000006,14.012319933912556,1.21918820645955e-07,-0.01922558030109129,11.78588056564331,33.51718306541443,45.303064584732056,1.907348723406699e-09,3.106892243476267e-10
