Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpSuccess,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_ewc,Loss/Loss_safety,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
690.2711464540973,0.0,500.0,0.0,1,20000,36,0.006221821531653404,0.00029949999999999996,75.88132898208517,0.0019124466541424402,-0.0040204273671524075,0.0,0.0,47.26450753211975,44.06474709510803,91.32925581932068,-6.217956638465694e-08,-7.212161978742415e-10
836.4318880743742,1.325,500.0,0.0,2,40000,36,0.006000197492539883,0.00029899999999999995,36.938724296669356,0.8536685029436766,-0.005417122927791564,0.0,0.0,47.18765997886658,46.00318121910095,93.19084191322327,5.3834913416039853e-08,1.430511542555024e-10
919.7811461907568,5.295,500.0,0.0,3,60000,36,0.010290042497217655,0.00029849999999999994,892.771966862433,19.412804753313296,-0.008322815164086983,0.0,353.0,48.49639916419983,51.66346859931946,100.1598687171936,-1.907348590179936e-08,-8.239746307481255e-08
-4433.957383721564,1132.8049999999998,500.0,0.025,4,80000,36,0.004824506584554911,0.0002979999999999999,1495153.8627343571,57996.76877848637,-0.005423031829001318,0.0,0.0,49.050896883010864,50.86775517463684,99.91865301132202,-1.0967254659988157e-08,9.521484116703505e-07
1119.3836949922802,13.626249999999999,500.0,0.0,5,100000,36,0.009134559892117977,0.0002974999999999999,339.64784372043306,51.295388625452695,-0.005753491016228051,0.0,51.75,49.66214203834534,50.01499056816101,99.67713403701782,6.19888282926695e-08,1.3732909565078444e-07
-2687.4435111435755,838.2025000000001,500.0,0.0,6,120000,36,0.00688085937872529,0.0002969999999999999,1036041.5839721045,38883.5476441771,-0.0021196694485785326,0.0,40.25,53.34677505493164,47.300373792648315,100.64714980125427,1.0299682884351569e-08,-1.7333984487777343e-06
-10119.667489170872,2335.45625,500.0,0.025,7,140000,36,0.0047543649561703205,0.0002964999999999999,3706751.532538937,134913.18728680012,-0.0023799655175634604,0.0,20505.25,49.55380034446716,44.365957498550415,93.91975855827332,1.1920929132713809e-08,2.197265530412551e-06
-11492.924972978173,2617.8125,500.0,0.0375,8,160000,36,0.006020441651344299,0.0002959999999999999,2226641.4697141256,81124.22038753565,-0.003226375399987396,0.0,6025.25,50.82041335105896,48.98778963088989,99.80820512771606,2.231597839852384e-08,3.6621094068323146e-07
-3857.47246272927,1099.405,500.0,0.095,9,180000,36,0.00543509516865015,0.00029549999999999986,1849748.834678723,61125.08012940336,-0.003086574053451985,0.0,10743.25,51.56493902206421,45.86000156402588,97.4249415397644,-6.294250454175199e-09,-3.41796862812771e-07
-33197.232502784595,6974.964999999999,500.0,0.10375000000000001,10,200000,36,0.005327729042619467,0.00029499999999999985,8873934.653274465,284981.35642704746,-0.006106806113080504,0.0,27598.75,50.60908317565918,47.789952754974365,98.39903664588928,5.550384685193421e-08,-3.7109375625732355e-06
-43702.6632059644,9104.325,500.0,0.14375,11,220000,36,0.005736805964261293,0.00029449999999999984,12669231.716087593,433037.61859843694,-0.006710751313062561,0.0,22000.5,54.760804176330566,50.86159038543701,105.62239575386047,-4.396438768594635e-08,-3.007812483701855e-05
-20723.534645863907,4483.936250000001,500.0,0.10874999999999999,12,240000,36,0.006578098516911268,0.00029399999999999983,7693548.412470798,257802.93297219675,-0.005921741423414796,0.0,48471.25,54.802886962890625,51.660454750061035,106.46334314346313,1.4019012617438875e-08,-4.687500222644303e-06
-41237.34738175104,8575.0725,500.0,0.1,13,260000,36,0.005720049142837524,0.00029349999999999987,8568233.24351138,293599.05989232333,-0.004573667059136098,0.0,27934.25,51.756274938583374,49.041948318481445,100.79822421073914,-2.6226043559063328e-08,3.808593646681402e-06
